ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,newsletter,intercept,depVarHat,solID
2017-06-05,833798.333333333,688532.536597382,-372651.400650064,318453.342810845,363240.601776157,0,10460.6502386706,73979.8272028345,1878.7491248296,37725.9419079589,24027.8150327326,2679.57146135036,0,1148327.6355027,1_10_5
2017-06-12,746271.666666667,688737.703430828,-359705.940022903,0,346169.834992132,0,3814.62191958657,44364.9336318623,39.8610258154032,19408.6809531774,26449.7623884235,3509.50389445473,0,772788.962213377,1_10_5
2017-06-19,1036406.66666667,688942.870264274,-316893.075645222,0,438331.876978346,0,94869.1998625565,25199.4791013726,0.839653635187047,15455.8390730954,29516.7248715535,4311.41186934342,0,979735.166028955,1_10_5
2017-06-26,927931.666666667,689148.03709772,-283518.739582011,0,412422.020092569,0,39419.1337011584,115303.32108849,34006.8206548725,6837.15649500446,26494.3041040815,583.887028244499,0,1040695.94068013,1_10_5
2017-07-03,1126943.33333333,689353.203931167,-270002.16278715,0,485086.564550344,0,25229.4186383559,74982.7008331919,103505.112768205,46447.4670341837,34989.8397247476,14564.8945351032,0,1204157.03922815,1_10_5
2017-07-10,1184220,689558.370764613,-248770.518030542,0,549868.653285854,0,9401.55555419892,45051.4503688284,3656.90982618428,25524.7927349351,35016.4557936027,10334.8636200854,0,1119642.53391776,1_10_5
2017-07-17,1315508.33333333,689763.537598059,-195254.126444099,0,529021.734789987,0,19460.0072105335,102022.239197865,200290.240108908,12055.171083402,33897.3129590298,2176.95068995587,0,1393433.06719364,1_10_5
2017-07-24,1279360,689943.745580887,-125395.32877211,0,593543.125694451,0,7190.17148816278,64593.5981273066,19309.8720451578,5221.08260808833,34468.1793475738,30361.531339099,0,1319235.97745862,1_10_5
2017-07-31,1455811.66666667,690123.953563716,-80220.1366331812,0,616522.672149361,0,20897.5406846625,127538.106553107,6850.69993999381,2169.88365475707,36006.3150138753,23717.0224175606,0,1443606.05734385,1_10_5
2017-08-07,1553355,690304.161546545,-75062.0686145595,0,684381.774740149,0,7737.6567588941,118986.175125922,98003.5128640143,885.825130287976,41990.8140484037,18364.2498136791,0,1585592.10141333,1_10_5
2017-08-14,1374855,690484.369529373,-77060.9870034457,0,584424.269100226,0,93686.4956058551,77964.1892676139,3342.17496807102,358.949268612636,13568.9573721344,57513.3093884063,0,1444281.72749685,1_10_5
2017-08-21,1970110,690664.577512202,-41124.648767427,0,873542.478536933,0,38851.8032112855,47107.8605065362,117984.351956956,28522.7862075654,3311.64371859795,69971.6019740951,0,1828832.45485674,1_10_5
2017-08-28,2336431.66666667,690844.78549503,37569.8726446332,0,975708.46921968,0,333505.9382525,26889.0595938831,4604.91649541199,27721.3037628327,45117.4124552999,126597.671229112,0,2268559.42914838,1_10_5
2017-09-04,2002065,690947.444326731,117583.94426393,0,929665.585549428,0,228747.957155515,14811.3075115515,98.7598790607539,13288.6715465367,40326.4888687033,93912.9183301188,0,2129383.07743157,1_10_5
2017-09-11,2027418.33333333,691050.103158432,158442.065568259,0,819841.648274943,0,271975.511962696,112875.889289012,33717.0704631064,20382.468279965,40298.7253739412,13106.9498476058,0,2161690.43221796,1_10_5
2017-09-18,1886570,691152.761990133,163828.012020731,0,875462.289099463,0,159743.082088818,73041.9570129514,817.705857665351,9305.01280931516,42998.826887359,40403.9261012871,0,2056753.57386772,1_10_5
2017-09-25,2529721.66666667,691255.420821833,170687.955101066,0,1031470.80272546,0,313564.287881019,115369.547512818,17.2770340282059,34705.2404343921,48263.9700801336,86106.8719013422,0,2491441.37349209,1_10_5
2017-10-02,2357930,691358.079653534,201961.787538957,34324.2900591825,1085531.98893223,0,380031.155992824,101049.20709917,0.363900468027339,17468.4641489227,48147.3556416758,116811.102936705,0,2676683.79590367,1_10_5
2017-10-09,3003391.66666667,691460.738485235,243527.80068395,0,1134065.62950936,0,358062.618128962,148562.526015254,172515.561520199,43053.894767125,44249.0993397815,71229.5904294114,0,2906727.45887928,1_10_5
2017-10-16,2283685,691563.397316936,271421.839927798,0,1060198.92425781,0,263216.358016258,103653.200647305,11116.9167851376,42357.3732696662,48357.223179666,151928.708943317,0,2643813.94234389,1_10_5
2017-10-23,2584721.66666667,691547.309628111,289378.18608386,0,1079543.31574559,0,279558.832206398,91275.5128971688,244.753276196907,46456.0324369275,48079.3521320436,148274.864216835,0,2674358.15862313,1_10_5
2017-10-30,2565400,691531.221939287,324188.101068591,-154551.846434947,1156354.66772091,0,183100.917552584,56580.281028382,5.15973773329586,47638.6452190491,48954.6601934023,39427.3525677361,0,2393229.16059272,1_10_5
2017-11-06,3407085,691515.134250462,383124.678544949,0,1292145.94624007,0,166800.142141779,144292.861484052,193228.033975441,42243.6220429865,50419.6645892989,92367.8706814023,0,3056137.95395044,1_10_5
2017-11-13,2803291.66666667,691499.046561638,430470.120730115,0,1302156.85430208,0,78652.8730915433,99740.9510821742,16542.2853984306,51475.0016900708,18024.7055911007,79992.8357579977,0,2768554.67420515,1_10_5
2017-11-20,3303155,691482.958872813,419841.764744167,0,1344828.34295707,0,221009.18997049,110049.329541531,5915.47064017615,42617.7217072949,4574.62521750762,76350.3565278976,0,2916669.76017894,1_10_5
2017-11-27,3103743.33333333,691466.871183989,348860.302822059,0,1389749.37691123,0,116003.088877838,70806.1033489678,99357.0975201042,39761.9696643456,54281.6376651722,147454.439044743,0,2957740.88703845,1_10_5
2017-12-04,2793875,691450.783495164,270338.902568084,0,1173350.83010694,0,154544.033110549,98238.9766900548,3417.56371763389,34559.7557579547,53688.370280926,87728.252332147,0,2567317.46805945,1_10_5
2017-12-11,2260396.66666667,691261.00343895,242028.996185461,0,1050053.1436927,0,71236.9099557573,61733.8276781898,72.9510042466445,36816.9254376447,51718.8444514267,140772.234321328,0,2345694.8361657,1_10_5
2017-12-18,2399176.66666667,691071.223382737,268758.609981224,0,1011508.83714459,0,241367.054308369,98237.9362638069,1.53687683400664,30000.2916623883,54460.1270527505,160932.507118119,0,2556338.12379082,1_10_5
2017-12-25,3827520,690881.443326523,300437.69932357,475663.378953746,951208.023031806,0,344071.954726814,61733.0470938122,149679.572362095,46070.2778016851,53490.2424501338,181077.087420779,0,3254312.72649097,1_10_5
2018-01-01,3109461.66666667,690691.66327031,285942.400439422,207777.634551108,959199.740792176,0,242996.12248171,36185.9182674287,67764.6881606036,42640.2043567205,55139.9317797692,194819.038798152,0,2783157.3428974,1_10_5
2018-01-08,2228128.33333333,690501.883214096,222124.063910898,0,1023770.54319158,0,133676.647565547,29886.4984504196,1940.25416428641,46970.587907145,55651.9599437222,196156.947901223,0,2400679.38624892,1_10_5
2018-01-15,2202593.33333333,690312.103157883,148257.906642007,0,885285.71185533,0,198910.466938069,16548.2071630398,153973.884821743,25918.2603102223,54751.8524335598,122095.013666608,0,2296053.40698846,1_10_5
2018-01-22,1918293.33333333,690120.972681484,100511.488759176,0,826362.295359218,0,99801.7514905279,78021.016392365,186809.878840419,12273.4479445847,48723.4526750094,48374.6747853369,0,2090998.97892812,1_10_5
2018-01-29,1862458.33333333,689929.842205086,80461.3446108207,0,796323.30774423,0,131264.304875554,47147.2816889917,14515.1894397112,5322.77614751641,49787.0048391313,41991.6863223869,0,1856742.73787343,1_10_5
2018-02-05,1975951.66666667,689738.711728687,65692.9206622679,0,900202.972583858,0,58030.5105929818,26913.4632842295,39743.0015409164,20599.8554761432,54114.0639166719,168527.827529773,0,2023563.32731553,1_10_5
2018-02-12,1827318.33333333,689547.581252289,39248.4420541128,0,800204.545874887,0,48464.6117496257,77211.0257384096,990.669787511666,9417.54966235306,20290.8878883448,113367.33230998,0,1798742.64631751,1_10_5
2018-02-19,1656268.33333333,689356.45077589,1315.6269503018,0,750183.271331815,0,18703.8027413035,46586.1902624967,56101.8207446964,4013.51067452922,5256.43694638198,86715.9924111974,0,1658233.10283861,1_10_5
2018-02-26,1703790,689165.320299492,-41542.7082448583,0,711806.267929953,0,33110.9682446796,80526.0940068612,110903.193853367,1656.1924482103,46582.7107658616,77982.1999246366,0,1710190.2392282,1_10_5
2018-03-05,1488115,688974.189823094,-86103.1960606555,0,690544.014501977,0,12484.3265690276,48893.5537581787,4117.69382232326,674.106804777861,47577.5965179698,70054.1397353741,0,1477216.42547207,1_10_5
2018-03-12,1727330,688782.995369901,-128263.292356339,0,671423.436208173,0,170002.194265765,96181.4748253941,183501.451918858,272.824956002107,44004.1638323087,28533.9670451548,0,1754439.21606522,1_10_5
2018-03-19,1208246.66666667,688591.800916708,-158896.097033252,0,561793.943605323,0,80646.8653940535,60196.4182916193,13609.9229759225,110.163388981637,42990.3366223579,34068.1205837318,0,1323111.47474545,1_10_5
2018-03-26,1388960,688400.606463516,-174074.336747875,24548.2317052022,583390.107389242,0,99330.9124499704,94278.180861825,19352.481137478,44.4411099617106,39738.6197548999,82469.0611179701,0,1457478.30524219,1_10_5
2018-04-02,2408331.66666667,688209.412010323,-187317.500139799,963388.253795971,498846.621986124,0,41579.4727832992,58785.2685576027,440.880284272307,17.9212682612934,42998.3789109496,39019.7388521784,0,2145968.44830918,1_10_5
2018-04-09,1131721.66666667,688018.21755713,-220237.180738388,0,524920.023960784,0,15878.9013166799,49795.2091351624,9.30149167224697,7.2258097011503,43476.2577917625,141502.134891025,0,1243370.09121553,1_10_5
2018-04-16,950015,687827.023103938,-274798.209428676,0,440877.473685234,0,5836.30741151972,28560.5992943807,0.19590815325113,29499.8284775407,41946.8557326368,106109.929459569,0,1065860.0036443,1_10_5
2018-04-23,801298.333333333,687635.828342527,-321600.299046814,0,362500.403663235,0,2114.11754493757,115353.624290803,0.00412607377407379,14314.8477058572,36714.8758314665,16379.4172440188,0,913412.819702104,1_10_5
2018-04-30,779838.333333334,687444.633581116,-326801.079376595,354327.38110117,354807.521056765,0,761.725285963255,75023.1220591618,8.69002732474246e-05,56101.298795814,32086.2250635177,10817.8044472623,0,1244568.63210107,1_10_5
2018-05-07,889546.666666667,687253.438819704,-292529.536724069,-58504.0425354632,408851.865599066,0,273.922129819857,87741.3127708311,1.83022839264428e-06,33346.560203308,38706.5956334722,703.925756684189,0,905844.041655183,1_10_5
2018-05-14,862850,687062.244058293,-261746.673487859,0,383049.739690988,0,98.4358061168424,54017.7731951128,61334.3597954443,56486.9628326955,12056.2857772162,45397.8072133039,0,1037756.93488131,1_10_5
2018-05-21,2601601.66666667,686871.049296882,-275332.49654277,318453.342810845,428817.589237296,1081388.78490971,192.000892883741,62461.8580307443,1698.21140198636,33685.6469351125,2904.62844172038,66485.5749141701,0,2407626.19032858,1_10_5
2018-05-28,905008.333333334,686679.854535471,-327128.644037249,0,411598.170406525,0,68.9887705452469,36662.3190821712,30017.5374217846,29306.2298842152,33369.8830802774,109086.041272128,0,1009660.38041587,1_10_5
2018-06-04,910551.666666667,686488.65977406,-369604.402371916,0,422505.723117554,0,24.7843340945658,20542.0658584585,716.081578043873,14201.9244106212,39827.7792162073,113091.714377525,0,927794.330294648,1_10_5
2018-06-11,923853.333333333,686297.465016483,-365319.544595071,0,401647.112887673,0,5276.8730280225,11192.2855681439,44460.4565409718,6233.28115728634,34190.8523726344,36514.5979054003,0,860493.379881544,1_10_5
2018-06-18,982420,686106.270258905,-324835.432055501,0,454214.958448801,0,1909.93185807774,45958.8438699617,1132.94407879601,2606.14931706322,39868.5229138264,80872.1584595911,0,987834.347149521,1_10_5
2018-06-25,1056811.66666667,685915.075501327,-287706.212874672,0,468941.532563056,0,687.955127429576,26179.2730939345,106756.09331728,37375.686616801,37525.4342024992,66154.8255549792,0,1141829.66310264,1_10_5
2018-07-02,932326.666666667,685723.88074375,-271913.889511579,0,395276.927285171,0,18714.0544662756,117609.819756178,3853.77856431547,19179.3241570892,33765.5711479257,51709.8586092136,0,1053919.32521834,1_10_5
2018-07-09,1126221.66666667,685532.685986172,-254651.35597509,0,494945.062508253,0,6906.98524803423,76844.6737249771,119568.197578862,51140.3463432228,38062.5095541314,49753.9331617981,0,1268103.03813036,1_10_5
2018-07-16,1140006.66666667,685341.491228595,-207047.794829399,0,499683.555279279,0,15201.734855385,88125.1284737558,4720.80118946423,29174.0020811645,39564.4295161276,24834.8999209528,0,1179598.24771533,1_10_5
2018-07-23,1479303.33333333,685150.296471017,-137199.854869768,0,641113.868463151,0,23656.0810606397,54294.3660697106,42919.2665352033,14124.9708997179,40316.9676075871,73359.3696970106,0,1437735.33193427,1_10_5
2018-07-30,1647193.33333333,684959.101714149,-85126.270415115,0,764773.998631815,0,8794.76374857629,31395.617529628,1085.77117504532,6196.52875550252,49134.2812607069,30075.0137051468,0,1491288.80610545,1_10_5
2018-08-06,2009478.33333333,684767.90695728,-74013.3104080402,0,841431.409442616,0,26485.0441320682,95436.5886682022,67745.9063901161,2590.21685770321,49974.8573212335,171494.046866712,0,1865912.66622789,1_10_5
2018-08-13,1523443.33333333,684576.712200411,-78479.6534602886,0,700850.556409772,0,9887.84811330564,59642.8852422278,1939.52316075417,41906.5539605472,17766.0209834812,115646.498688215,0,1553736.94529843,1_10_5
2018-08-20,1420118.33333333,684385.517443543,-51295.3053694076,0,585785.799363596,0,195336.67116731,102950.002722276,41.1602887667223,22239.9004956563,4498.55189760845,87505.3766078359,0,1631447.67461718,1_10_5
2016-11-21,2964696.66666667,719915.62989631,451728.331319916,0,1389925.54921717,0,51875.8459592632,55218.7492859634,84287.7327269653,4449.7651234731,15.6250678893504,63409.1286436991,0,2820826.35724065,1_12_1
2016-11-28,2848525,720144.314033654,366741.643557422,0,1436831.35358402,0,8931.43968929033,6246.7719663438,61734.1790294348,2920.96877183494,52258.2929181313,91886.7086918432,0,2747695.67224197,1_12_1
2016-12-05,2740160,720372.99815558,286626.377537745,0,1267555.64096243,0,22340.5750922475,100287.782397621,9244.38560817371,682.904109917439,52228.8231225674,161769.137140624,0,2621108.62412691,1_12_1
2016-12-12,2380508.33333333,720601.682277507,268082.636237527,0,1216764.2761778,0,3704.60226155805,14020.2460639977,1194.33367847393,831.849464416541,43665.1188228307,91901.8615458766,0,2360766.60652999,1_12_1
2016-12-19,2230915,720830.366399434,303500.166135585,-334889.162179825,1097143.75365407,0,600.350294106612,139857.050519616,151.122091791068,236.906066761547,38540.2343720381,19722.7301416877,0,1985693.51749526,1_12_1
2016-12-26,3659425,721059.05052136,332320.674912471,1074315.6135661,1189951.10772625,0,299637.106796651,24655.8199975237,19.0709228962729,3265.53456499107,58366.1206927834,1956.31987942463,0,3705546.41958045,1_12_1
2017-01-02,2827008.33333333,721287.734643287,305127.960926734,0,1154235.56958759,0,211665.481549982,174187.026236626,203460.945575391,3053.95122804383,48461.2368247771,131854.974257186,0,2953334.88082961,1_12_1
2017-01-09,2042143.33333333,721516.418765214,229146.033336281,0,1049126.86557375,0,45956.7341622837,39698.6047012568,53401.3729408765,3059.08352441223,50549.0025002445,88747.635138305,0,2281201.75064262,1_12_1
2017-01-16,2113358.33333333,721744.299714549,151000.667266506,0,1031501.91918613,0,17708.1741788106,4214.13988874817,26062.1456261436,2876.23506024727,49932.1459989338,121200.283239562,0,2126240.01015964,1_12_1
2017-01-23,2179918.33333333,721972.180663885,104947.088630872,0,1077222.75231075,0,2919.56216871378,392.079641099457,115243.458298854,4844.58637019966,49503.1767776174,58120.0439353269,0,2135164.92879732,1_12_1
2017-01-30,2370613.33333333,722200.061613221,85961.4506825052,0,1092507.77302248,0,89074.3055274069,35.9996869906932,20596.8307237517,3422.49126566281,53782.6183986356,88828.2616862264,0,2156409.79260688,1_12_1
2017-02-06,1814556.66666667,722427.942562557,68229.58810271,0,931087.536165124,0,16112.430257594,3.3013544369335,2742.41384507958,61.0096902761481,37476.4631523366,18142.7938154599,0,1796283.47894557,1_12_1
2017-02-13,1951668.33333333,722655.823511892,36434.6482857403,0,968296.218113809,0,2651.22143091981,41633.5178489338,348.385590626473,4473.34508792394,1089.02942927317,49751.2198487487,0,1827333.40914787,1_12_1
2017-02-20,1918238.33333333,722883.704461228,-6734.78714415184,0,944781.204226538,0,429.093163881738,4453.76923527032,111526.100675337,95.4106001064819,20.2077898042602,58552.2847824934,0,1836006.98779051,1_12_1
2017-02-27,1472390,723111.585410564,-54375.0696185161,0,739191.772348174,0,69.2601418538854,414.720525456192,19668.0216749106,6947.17047270376,23443.0590835372,85978.6102025339,0,1544449.13024122,1_12_1
2017-03-06,1477865,723339.458159463,-103429.184139871,0,721749.697594199,0,11.1744299768298,38.08147382224,138122.617987824,275.698569615858,35154.7901024689,42632.6620659305,0,1557894.99624343,1_12_1
2017-03-13,1300166.66666667,723567.330908362,-148351.074306264,0,634096.30651657,0,8906.70823639234,3.49228982864463,26912.8394730941,3.2945258619292,32020.3526473506,80060.2961867814,0,1357219.54647798,1_12_1
2017-03-20,1160205,723795.203657261,-178873.782552697,0,556984.664670045,0,1452.59433268142,0.320225021287903,171871.91590885,0.0382764542994196,21502.1815925009,77796.8839924098,0,1374530.02010253,1_12_1
2017-03-27,1356871.66666667,724023.076406161,-193526.468367385,0,689130.970503991,0,234.755829073183,2624.0100792091,38629.2521868086,705.612550275919,34462.1499618507,90098.2085100821,0,1386381.56766007,1_12_1
2017-04-03,1355833.33333333,724250.94915506,-210416.884777488,0,696295.905739174,0,37.8831130653694,242.791327116513,5406.0417187243,8.82953820731951,23757.206247421,11504.7476469464,0,1251087.46970823,1_12_1
2017-04-10,1176266.66666667,724478.821903959,-251779.137445211,26034.6944128673,571266.046449672,0,6.1118279086119,179418.360818733,691.497480560803,0.102641188063415,16667.3594752043,1703.73685178937,0,1268487.59441667,1_12_1
2017-04-17,1955281.66666667,724706.694652858,-313403.654286575,1021724.05286564,470707.428815261,0,5068.31419861363,42800.399729754,87.3844337326276,0.00119211810902666,17394.6782125707,19188.5064463603,0,1988273.80626033,1_12_1
2017-04-24,1029928.33333333,724929.587488034,-358800.612596752,0,509415.104003326,0,822.715230513466,132377.564633091,11.0257247748937,1.38456201976242e-05,16511.7497361192,44888.9023307667,0,1070156.03656372,1_12_1
2017-05-01,2263143.33333333,725152.48032321,-355020.233853298,375782.875111352,435145.669095795,0,74566.8578720844,22239.8852119396,1.39089887059646,1.60807200400143e-07,13036.2844477571,15222.582101124,0,1306127.791209,1_12_1
2017-05-08,813771.666666667,725375.373158386,-313777.494364624,0,400967.299419696,0,13227.0051056239,131881.443358343,0.17545804255459,1.86766322457253e-09,9725.3525804861,16633.9200854441,0,984033.0748014,1_12_1
2017-05-15,880871.666666667,725598.265993561,-286383.968655304,0,452637.463999319,0,2168.69033644797,22087.6441062038,0.0221334777319928,2.16916028118421e-11,197.395393894913,49244.8818083653,0,965550.395115966,1_12_1
2017-05-22,919185,725821.158828737,-311130.447296467,-62046.6226496224,465642.592652256,0,350.790624130141,13434.9567689639,0.00279206719532566,1563.13372818188,3.63066920364231,58424.0086701024,0,892063.204787553,1_12_1
2017-05-29,826321.666666667,726044.051663912,-370659.989229501,0,412702.024375302,0,56.6159049697086,1291.43440983875,79965.5488292734,21.5909763211095,7523.99142051705,16953.2012997677,0,873898.469650402,1_12_1
2017-06-05,833798.333333333,726260.460549518,-409936.937510591,337736.565484652,401721.10614523,0,7334.61185927408,8057.20770965504,12674.6602938472,1138.9243529868,9253.43390901792,3263.41689661868,0,1097503.44969021,1_12_1
2017-06-12,746271.666666667,726476.869435123,-395696.222260615,0,382841.918957197,0,1193.89769659893,759.801094454971,1652.32826527978,14.9629346205572,12069.3575976316,4710.79951242444,0,734023.713232716,1_12_1
2017-06-19,1036406.66666667,726693.278320728,-348599.728115075,0,484767.301941009,0,74128.2512213566,69.8511232871897,209.318785669057,7.50675009300259,16411.9769813332,5717.79614442205,0,959405.553152823,1_12_1
2017-06-26,927931.666666667,726909.687206334,-311886.131726236,0,456112.640767881,0,13141.5088909835,57241.394731079,53572.1054506956,0.0872523429804782,11884.9512847629,1019.09316919427,0,1007995.33702704,1_12_1
2017-07-03,1126943.33333333,727126.096091939,-297017.157432174,0,536475.02601441,0,7101.66820108073,6531.51478170177,108647.166912342,3540.84243157309,26338.2458830069,16084.5062558294,0,1134827.90913971,1_12_1
2017-07-10,1184220,727342.504977544,-273661.18610172,0,608119.914328037,0,1155.65033698121,612.62876095657,18965.4597360865,64.3088238705648,25973.6741760571,11522.0450629892,0,1120095.0001008,1_12_1
2017-07-17,1315508.33333333,727558.91386315,-214790.226176991,0,585064.54244249,0,9723.57900106032,33560.6953355798,193498.934781281,0.751824767399367,23684.8949827213,3023.63841279394,0,1361325.72446685,1_12_1
2017-07-24,1279360,727748.996285762,-137941.725068795,0,656421.115461667,0,1587.40918205882,3477.78639704467,48234.5686746235,0.00873258759451704,24874.0125107585,29190.158804729,0,1353592.33098044,1_12_1
2017-07-31,1455811.66666667,727939.078708374,-88246.5410856409,0,681835.038837641,0,12515.9792958841,83456.5470185669,24145.5563170165,0.000101422990798812,28010.2385118934,22657.8234541761,0,1492313.72115933,1_12_1
2017-08-07,1553355,728129.161130986,-82572.3839421643,0,756882.909646954,0,2050.31231160385,57573.037075926,104254.98302501,1.17795715317935e-06,41498.0555921809,18110.7577054425,0,1625926.83254712,1_12_1
2017-08-14,1374855,728319.243553599,-84771.3035792412,0,646336.237449959,0,68657.8139374148,6578.67252703507,17920.7204119117,1.36811489154008e-08,1286.36701669445,49740.6306158738,0,1434068.38193326,1_12_1
2017-08-21,1970110,728509.325976211,-45239.3645710421,0,966082.670898539,0,12083.519046974,617.154109947796,118790.028892403,250.510156830193,23.9164235576384,58549.6038061335,0,1839667.36473955,1_12_1
2017-08-28,2336431.66666667,728699.408398823,41328.9162679583,0,1079071.78771756,0,335251.850053126,56.7092672565472,21506.5497934853,186.891466816981,49914.8085529256,109678.747498979,0,2365695.66901693,1_12_1
2017-09-04,2002065,728807.692388944,129348.774559512,0,1028151.27368998,0,91207.0126039437,5.20089791802677,2870.57668349857,2.21271884174626,37051.0035665266,76070.7053424589,0,2093514.45245162,1_12_1
